floorId	partitionId	location_x	location_y	timeStamp
91	85	346.38334763642615	291.48257437629275	23/10/25 03:04:41
91	85	346.31828213911166	290.7750300761249	23/10/25 03:04:41
91	85	346.31828213911166	290.7750300761249	23/10/25 03:04:41
91	63	347.0154819682187	289.8728809003024	23/10/25 03:04:42
91	63	347.89735269300957	289.69060661939324	23/10/25 03:04:42
91	63	348.64415293720924	289.53625012056904	23/10/25 03:04:42
91	63	349.46640873341266	289.3662976776961	23/10/25 03:04:42
91	63	349.46640873341266	289.3662976776961	23/10/25 03:04:42
91	63	350.7401693061917	289.10302349710827	23/10/25 03:04:42
91	63	350.7401693061917	289.10302349710827	23/10/25 03:04:42
91	63	352.18802341802615	288.80376583986083	23/10/25 03:04:42
91	63	352.18802341802615	288.80376583986083	23/10/25 03:04:42
91	63	352.8765598736505	288.661451911299	23/10/25 03:04:42
91	63	354.27701306708315	288.37199157249444	23/10/25 03:04:42
91	63	354.27701306708315	288.37199157249444	23/10/25 03:04:42
91	63	355.04983859850114	288.2122558946366	23/10/25 03:04:42
