floorId	partitionId	location_x	location_y	timeStamp
91	3	324.7594765424106	283.608065377123	23/10/25 03:04:09
91	3	323.88650218887244	283.677186659439	23/10/25 03:04:09
91	3	323.88650218887244	283.7358092478834	23/10/25 03:04:09
91	3	322.4775790211248	283.7887438611422	23/10/25 03:04:09
91	3	322.4775790211248	283.7887438611422	23/10/25 03:04:09
91	3	322.4775790211248	283.7887438611422	23/10/25 03:04:09
91	72	320.973165134206	283.85061570657246	23/10/25 03:04:09
91	72	320.973165134206	283.85061570657246	23/10/25 03:04:09
91	72	320.5322699095004	283.1932686981658	23/10/25 03:04:09
91	72	319.62270067848823	281.8371582677481	23/10/25 03:04:09
91	72	319.27817078212183	281.32348589392205	23/10/25 03:04:09
91	72	319.27817078212183	281.32348589392205	23/10/25 03:04:09
91	72	318.6833842971016	280.43669670987094	23/10/25 03:04:09
91	72	318.3764607015744	279.979092961806	23/10/25 03:04:09
91	72	318.3764607015744	279.979092961806	23/10/25 03:04:09
91	72	317.58646991088085	278.8012664537554	23/10/25 03:04:09
91	72	317.58646991088085	278.8012664537554	23/10/25 03:04:10
91	72	317.58646991088085	278.8012664537554	23/10/25 03:04:10
91	72	316.6982026249686	277.4769158816896	23/10/25 03:04:10
91	72	316.1450673382058	276.6522260106654	23/10/25 03:04:10
91	72	316.1450673382058	276.6522260106654	23/10/25 03:04:10
91	72	315.3308684424166	275.4383067427658	23/10/25 03:04:10
91	72	315.3308684424166	275.4383067427658	23/10/25 03:04:10
91	72	314.3402947826131	273.96142381142306	23/10/25 03:04:10
91	72	314.3402947826131	273.96142381142306	23/10/25 03:04:10
91	72	313.90015419014327	273.3052019121463	23/10/25 03:04:10
91	72	313.11729506178386	272.1380082634182	23/10/25 03:04:10
91	72	312.7014477538087	271.5180061211089	23/10/25 03:04:10
91	73	312.5406406122481	270.6027853434586	23/10/25 03:04:10
91	73	312.5406406122481	270.6027853434586	23/10/25 03:04:10
91	73	312.49653475939715	268.83118780541406	23/10/25 03:04:10
91	73	312.49653475939715	268.83118780541406	23/10/25 03:04:10
91	73	312.45879054815873	267.31511800099776	23/10/25 03:04:11
91	73	312.45879054815873	267.31511800099776	23/10/25 03:04:11
